"Year","Treat.Code","Plot","Subplot","Species","n.seed.inf"
2016,"D",81,"Grass","Avena fatua",7.4
2016,"D",81,"Grass","Lolium multiflorum",16.6
2016,"D",83,"Grass","Avena fatua",15
2016,"D",83,"Grass","Lolium multiflorum",32.6
2016,"D",91,"Grass","Bromus hordeaceus",10.6
2016,"D",91,"Grass","Lolium multiflorum",21.2
2016,"D",93,"Grass","Lolium multiflorum",16.8
2016,"D",93,"Grass","Taeniatherum caput-medusae",10.88
2016,"D",95,"Grass","Lolium multiflorum",22.4
2016,"D",95,"Grass","Taeniatherum caput-medusae",21.6
2016,"D",97,"Grass","Lolium multiflorum",15.8
2016,"D",97,"Grass","Taeniatherum caput-medusae",8.8
2016,"D",99,"Grass","Avena fatua",8
2016,"D",99,"Grass","Lolium multiflorum",16.8
2016,"C",18,"Grass","Bromus hordeaceus",16.2
2016,"C",18,"Grass","Lolium multiflorum",49.2
2016,"C",18,"Grass","Taeniatherum caput-medusae",10.6
2016,"C",30,"Grass","Bromus hordeaceus",13.6
2016,"C",30,"Grass","Lolium multiflorum",25.8
2016,"C",30,"Grass","Taeniatherum caput-medusae",15.2
2016,"C",50,"Grass","Avena fatua",4.2
2016,"C",50,"Grass","Lolium multiflorum",16.8
2016,"C",50,"Grass","Taeniatherum caput-medusae",7.4
2016,"C",56,"Grass","Lolium multiflorum",22.6
2016,"C",84,"Grass","Avena fatua",15.2
2016,"C",84,"Grass","Lolium multiflorum",34
2016,"C",92,"Grass","Bromus hordeaceus",8
2016,"C",92,"Grass","Lolium multiflorum",22.4
2016,"C",96,"Grass","Lolium multiflorum",16
2016,"C",96,"Grass","Taeniatherum caput-medusae",15.6
2016,"C",98,"Grass","Lolium multiflorum",14.2
2016,"C",98,"Grass","Taeniatherum caput-medusae",5.8
2016,"W",5,"Grass","Avena fatua",10
2016,"W",5,"Grass","Lolium multiflorum",63.8
2016,"W",15,"Grass","Avena fatua",6
2016,"W",17,"Grass","Bromus hordeaceus",10.2
2016,"W",17,"Grass","Lolium multiflorum",21
2016,"W",17,"Grass","Taeniatherum caput-medusae",8.4
2016,"W",17,"Grass","Vulpia microstachys",13
2016,"W",19,"Grass","Bromus hordeaceus",21.8
2016,"W",19,"Grass","Lolium multiflorum",33.2
2016,"W",19,"Grass","Taeniatherum caput-medusae",13
2016,"W",23,"Grass","Lolium multiflorum",20.8
2016,"W",23,"Grass","Taeniatherum caput-medusae",12.6
2016,"W",29,"Grass","Lolium multiflorum",19.4
2016,"W",29,"Grass","Taeniatherum caput-medusae",16.8
2016,"W",37,"Grass","Lolium multiflorum",24
