"Year","Treat.Code","Plot","Subplot","Species","germ.tot","germ.proj","trt.mort","pst.mort","tot.mort","viable"
2016,"W",5,"Grass","Agoseris heterophylla",52,29,6,2,8,95
2016,"W",5,"No Grass","Agoseris heterophylla",31,29,6,0,6,95
2016,"W",5,"No Grass","Clarkia purpurea",41,28,4,2,6,96
2016,"W",5,"Grass","Lasthenia californica",2,2,0,0,0,54
2016,"W",5,"No Grass","Lasthenia californica",5,5,1,1,2,54
2016,"W",5,"Grass","Clarkia purpurea",36,24,2,7,9,96
2016,"W",5,"Grass","Hemizonia congesta",43,26,2,10,12,71
2016,"W",5,"No Grass","Hemizonia congesta",47,23,0,3,3,71
2016,"W",5,"Grass","Plantago erecta",54,28,1,0,1,84
2016,"W",5,"No Grass","Plantago erecta",31,25,2,1,3,84
2016,"W",15,"Grass","Clarkia purpurea",13,13,5,1,6,96
2016,"W",15,"No Grass","Clarkia purpurea",31,27,0,3,3,96
2016,"W",15,"Grass","Lasthenia californica",4,2,0,0,0,54
2016,"W",15,"No Grass","Plantago erecta",69,37,4,0,5,84
2016,"W",15,"Grass","Hemizonia congesta",60,24,4,9,13,71
2016,"W",15,"No Grass","Hemizonia congesta",22,21,2,4,6,71
2016,"W",15,"Grass","Agoseris heterophylla",51,25,4,1,5,95
2016,"W",15,"No Grass","Lasthenia californica",6,6,2,0,2,54
2016,"W",15,"Grass","Plantago erecta",34,27,6,0,6,84
2016,"W",15,"No Grass","Agoseris heterophylla",85,30,5,0,5,95
2016,"W",17,"No Grass","Agoseris heterophylla",68,26,8,1,9,95
2016,"W",17,"Grass","Agoseris heterophylla",95,29,7,0,7,95
2016,"W",17,"Grass","Clarkia purpurea",65,29,5,6,11,96
2016,"W",17,"No Grass","Clarkia purpurea",41,25,2,4,6,96
2016,"W",17,"No Grass","Hemizonia congesta",29,25,5,6,11,71
2016,"W",17,"No Grass","Lasthenia californica",8,8,0,1,1,54
2016,"W",17,"No Grass","Plantago erecta",37,27,9,0,13,84
2016,"W",17,"Grass","Hemizonia congesta",22,21,6,5,11,71
2016,"W",17,"Grass","Lasthenia californica",5,5,1,0,1,54
2016,"W",17,"Grass","Plantago erecta",56,27,4,0,5,84
2016,"C",18,"No Grass","Lasthenia californica",13,13,0,0,0,54
2016,"C",18,"No Grass","Plantago erecta",23,19,7,0,8,84
2016,"C",18,"No Grass","Clarkia purpurea",61,30,5,4,9,96
2016,"C",18,"No Grass","Hemizonia congesta",30,25,5,13,18,71
2016,"C",18,"Grass","Lasthenia californica",9,9,3,1,4,54
2016,"C",18,"No Grass","Agoseris heterophylla",74,25,7,0,7,95
2016,"C",18,"Grass","Clarkia purpurea",33,29,2,8,10,96
2016,"C",18,"Grass","Hemizonia congesta",32,24,7,7,14,71
2016,"C",18,"Grass","Agoseris heterophylla",95,25,5,2,7,95
2016,"C",18,"Grass","Plantago erecta",21,18,7,0,7,84
2016,"W",19,"Grass","Agoseris heterophylla",81,24,6,1,7,95
2016,"W",19,"Grass","Lasthenia californica",8,8,4,0,4,54
2016,"W",19,"Grass","Hemizonia congesta",32,23,4,6,10,71
2016,"W",19,"Grass","Plantago erecta",60,22,2,0,2,84
2016,"W",19,"No Grass","Agoseris heterophylla",95,21,8,0,8,95
2016,"W",19,"No Grass","Clarkia purpurea",68,29,4,2,6,96
2016,"W",19,"No Grass","Hemizonia congesta",33,26,6,7,13,71
2016,"W",19,"No Grass","Lasthenia californica",10,10,3,0,3,54
2016,"W",19,"Grass","Clarkia purpurea",39,22,1,0,1,96
2016,"W",19,"No Grass","Plantago erecta",81,30,4,5,10,84
2016,"W",23,"Grass","Agoseris heterophylla",95,35,14,4,18,95
2016,"W",23,"Grass","Clarkia purpurea",32,23,0,10,10,96
2016,"W",23,"No Grass","Agoseris heterophylla",79,35,15,1,17,95
2016,"W",23,"No Grass","Clarkia purpurea",50,26,2,1,3,96
2016,"W",23,"Grass","Hemizonia congesta",52,25,8,5,13,71
2016,"W",23,"No Grass","Lasthenia californica",4,4,0,1,1,54
2016,"W",23,"No Grass","Plantago erecta",75,25,0,0,0,84
2016,"W",23,"No Grass","Hemizonia congesta",71,25,2,1,3,71
2016,"W",23,"Grass","Lasthenia californica",6,6,0,2,2,54
2016,"W",23,"Grass","Plantago erecta",64,31,4,1,5,84
2016,"W",29,"No Grass","Clarkia purpurea",26,22,0,5,5,96
2016,"W",29,"Grass","Clarkia purpurea",19,19,1,3,4,96
2016,"W",29,"No Grass","Agoseris heterophylla",62,32,7,1,8,95
2016,"W",29,"No Grass","Hemizonia congesta",31,24,2,3,5,71
2016,"W",29,"Grass","Agoseris heterophylla",62,26,8,10,18,95
2016,"W",29,"No Grass","Plantago erecta",55,26,2,1,3,84
2016,"W",29,"Grass","Hemizonia congesta",27,22,6,5,11,71
2016,"W",29,"Grass","Lasthenia californica",2,2,0,2,2,54
2016,"W",29,"No Grass","Lasthenia californica",4,4,0,0,0,54
2016,"W",29,"Grass","Plantago erecta",56,21,0,0,0,84
2016,"C",30,"No Grass","Agoseris heterophylla",64,26,4,1,5,95
2016,"C",30,"Grass","Plantago erecta",84,27,0,0,0,84
2016,"C",30,"Grass","Agoseris heterophylla",71,27,6,2,8,95
2016,"C",30,"No Grass","Clarkia purpurea",16,16,0,0,0,96
2016,"C",30,"No Grass","Lasthenia californica",3,3,0,2,2,54
2016,"C",30,"No Grass","Plantago erecta",53,25,1,0,1,84
2016,"C",30,"Grass","Lasthenia californica",2,2,0,0,0,54
2016,"C",30,"Grass","Hemizonia congesta",36,26,6,3,9,71
2016,"C",30,"No Grass","Hemizonia congesta",19,18,3,4,7,71
2016,"C",30,"Grass","Clarkia purpurea",37,26,1,3,4,96
2016,"W",37,"Grass","Hemizonia congesta",53,21,0,6,6,71
2016,"W",37,"No Grass","Clarkia purpurea",18,18,1,5,6,96
2016,"W",37,"No Grass","Hemizonia congesta",45,25,4,2,6,71
2016,"W",37,"No Grass","Agoseris heterophylla",68,35,16,1,17,95
2016,"W",37,"No Grass","Plantago erecta",47,25,5,1,6,84
2016,"W",37,"Grass","Lasthenia californica",0,0,0,0,0,54
2016,"W",37,"Grass","Agoseris heterophylla",61,26,7,0,7,95
2016,"W",37,"Grass","Plantago erecta",84,25,3,1,4,84
2016,"W",37,"No Grass","Lasthenia californica",0,0,0,0,0,54
2016,"W",37,"Grass","Clarkia purpurea",16,16,0,3,3,96
2016,"W",49,"Grass","Plantago erecta",43,25,1,0,4,84
2016,"W",49,"Grass","Clarkia purpurea",21,21,3,6,9,96
2016,"W",49,"No Grass","Agoseris heterophylla",78,34,24,3,27,95
2016,"W",49,"No Grass","Hemizonia congesta",71,28,3,2,5,71
2016,"W",49,"No Grass","Lasthenia californica",10,10,1,2,3,54
2016,"W",49,"Grass","Agoseris heterophylla",71,27,0,6,6,95
2016,"W",49,"No Grass","Clarkia purpurea",25,20,1,0,1,96
2016,"W",49,"Grass","Lasthenia californica",13,13,0,5,5,54
2016,"W",49,"Grass","Hemizonia congesta",71,23,0,6,6,71
2016,"W",49,"No Grass","Plantago erecta",35,25,3,1,4,84
2016,"C",50,"No Grass","Hemizonia congesta",54,25,2,9,11,71
2016,"C",50,"No Grass","Clarkia purpurea",26,21,2,2,4,96
2016,"C",50,"Grass","Clarkia purpurea",26,22,1,11,12,96
2016,"C",50,"No Grass","Agoseris heterophylla",69,26,3,1,4,95
2016,"C",50,"No Grass","Lasthenia californica",7,7,0,1,1,54
2016,"C",50,"No Grass","Plantago erecta",31,22,2,1,3,84
2016,"C",50,"Grass","Agoseris heterophylla",85,24,5,6,11,95
2016,"C",50,"Grass","Lasthenia californica",10,9,2,4,6,54
2016,"C",50,"Grass","Plantago erecta",29,20,0,0,0,84
2016,"C",50,"Grass","Hemizonia congesta",42,23,2,14,16,71
2016,"W",55,"No Grass","Agoseris heterophylla",70,27,2,4,6,95
2016,"W",55,"No Grass","Clarkia purpurea",21,21,2,3,5,96
2016,"W",55,"Grass","Agoseris heterophylla",77,21,2,0,2,95
2016,"W",55,"Grass","Lasthenia californica",10,10,1,2,3,54
2016,"W",55,"No Grass","Lasthenia californica",4,4,0,0,0,54
2016,"W",55,"Grass","Clarkia purpurea",23,21,5,4,9,96
2016,"W",55,"No Grass","Plantago erecta",33,23,2,1,3,84
2016,"W",55,"No Grass","Hemizonia congesta",71,21,0,3,3,71
2016,"W",55,"Grass","Plantago erecta",36,22,1,0,1,84
2016,"W",55,"Grass","Hemizonia congesta",71,23,1,5,6,71
