Plot,Year,Date,Subplot,Species,n.flo,Treat.Code
5,2016,4/24/16,Grass,Agoseris heterophylla,1,W
5,2016,4/24/16,Grass,Agoseris heterophylla,1,W
5,2016,4/24/16,Grass,Agoseris heterophylla,1,W
5,2016,4/24/16,Grass,Agoseris heterophylla,1,W
5,2016,4/24/16,Grass,Agoseris heterophylla,1,W
5,2016,4/24/16,Grass,Plantago erecta,5,W
5,2016,4/24/16,Grass,Lasthenia californica,1,W
5,2016,4/24/16,Grass,Plantago erecta,4,W
5,2016,4/24/16,Grass,Plantago erecta,4,W
5,2016,4/24/16,Grass,Plantago erecta,5,W
5,2016,4/24/16,Grass,Plantago erecta,6,W
5,2016,5/20/16,Grass,Clarkia purpurea,1,W
5,2016,6/23/16,Grass,Hemizonia congesta,1,W
5,2016,6/23/16,Grass,Hemizonia congesta,1,W
5,2016,6/23/16,Grass,Hemizonia congesta,1,W
5,2016,5/20/16,Grass,Clarkia purpurea,1,W
5,2016,5/20/16,Grass,Clarkia purpurea,1,W
5,2016,6/23/16,Grass,Hemizonia congesta,1,W
5,2016,5/20/16,Grass,Clarkia purpurea,1,W
5,2016,5/20/16,Grass,Clarkia purpurea,1,W
5,2016,4/24/16,No Grass,Agoseris heterophylla,1,W
5,2016,4/24/16,No Grass,Plantago erecta,4,W
5,2016,4/24/16,No Grass,Plantago erecta,4,W
5,2016,4/24/16,No Grass,Lasthenia californica,1,W
5,2016,4/24/16,No Grass,Agoseris heterophylla,2,W
5,2016,4/24/16,No Grass,Agoseris heterophylla,1,W
5,2016,4/24/16,No Grass,Agoseris heterophylla,2,W
5,2016,5/20/16,No Grass,Clarkia purpurea,1,W
5,2016,4/24/16,No Grass,Agoseris heterophylla,2,W
5,2016,5/20/16,No Grass,Clarkia purpurea,3,W
5,2016,5/20/16,No Grass,Clarkia purpurea,1,W
5,2016,5/20/16,No Grass,Clarkia purpurea,1,W
5,2016,5/20/16,No Grass,Clarkia purpurea,1,W
5,2016,4/24/16,No Grass,Lasthenia californica,1,W
5,2016,4/24/16,No Grass,Plantago erecta,3,W
5,2016,6/23/16,No Grass,Hemizonia congesta,2,W
5,2016,6/23/16,No Grass,Hemizonia congesta,1,W
5,2016,4/24/16,No Grass,Plantago erecta,2,W
5,2016,4/24/16,No Grass,Plantago erecta,9,W
5,2016,6/23/16,No Grass,Hemizonia congesta,2,W
5,2016,6/23/16,No Grass,Hemizonia congesta,1,W
5,2016,4/24/16,No Grass,Lasthenia californica,2,W
5,2016,6/23/16,No Grass,Hemizonia congesta,1,W
15,2016,4/24/16,Grass,Lasthenia californica,1,W
15,2016,4/24/16,Grass,Lasthenia californica,1,W
15,2016,4/24/16,Grass,Plantago erecta,2,W
15,2016,4/24/16,Grass,Plantago erecta,2,W
15,2016,4/24/16,Grass,Plantago erecta,3,W
15,2016,4/24/16,Grass,Plantago erecta,4,W
15,2016,4/24/16,Grass,Plantago erecta,4,W
15,2016,9/2/16,Grass,Hemizonia congesta,13,W
15,2016,9/2/16,Grass,Hemizonia congesta,48,W
15,2016,9/2/16,Grass,Hemizonia congesta,4,W
15,2016,5/20/16,Grass,Agoseris heterophylla,1,W
15,2016,5/20/16,Grass,Agoseris heterophylla,1,W
15,2016,5/20/16,Grass,Agoseris heterophylla,1,W
15,2016,5/20/16,Grass,Agoseris heterophylla,3,W
15,2016,9/2/16,Grass,Hemizonia congesta,35,W
15,2016,5/20/16,Grass,Agoseris heterophylla,1,W
15,2016,5/20/16,Grass,Clarkia purpurea,1,W
15,2016,5/20/16,Grass,Clarkia purpurea,1,W
15,2016,5/20/16,Grass,Clarkia purpurea,1,W
15,2016,5/20/16,Grass,Clarkia purpurea,1,W
15,2016,5/20/16,Grass,Clarkia purpurea,1,W
15,2016,4/24/16,No Grass,Agoseris heterophylla,1,W
15,2016,4/24/16,No Grass,Lasthenia californica,1,W
15,2016,4/24/16,No Grass,Agoseris heterophylla,1,W
15,2016,4/24/16,No Grass,Agoseris heterophylla,1,W
15,2016,4/24/16,No Grass,Agoseris heterophylla,1,W
15,2016,4/24/16,No Grass,Agoseris heterophylla,1,W
15,2016,9/2/16,No Grass,Hemizonia congesta,10,W
15,2016,9/2/16,No Grass,Hemizonia congesta,4,W
15,2016,9/2/16,No Grass,Hemizonia congesta,54,W
15,2016,9/2/16,No Grass,Hemizonia congesta,15,W
15,2016,9/2/16,No Grass,Hemizonia congesta,9,W
15,2016,4/24/16,No Grass,Lasthenia californica,1,W
15,2016,4/24/16,No Grass,Lasthenia californica,1,W
15,2016,4/24/16,No Grass,Plantago erecta,3,W
15,2016,4/24/16,No Grass,Plantago erecta,7,W
15,2016,4/24/16,No Grass,Plantago erecta,5,W
15,2016,4/24/16,No Grass,Plantago erecta,4,W
15,2016,5/20/16,No Grass,Clarkia purpurea,2,W
15,2016,4/24/16,No Grass,Plantago erecta,5,W
15,2016,5/20/16,No Grass,Clarkia purpurea,2,W
15,2016,5/20/16,No Grass,Clarkia purpurea,1,W
15,2016,5/20/16,No Grass,Clarkia purpurea,1,W
15,2016,5/20/16,No Grass,Clarkia purpurea,1,W
17,2016,4/24/16,Grass,Lasthenia californica,2,W
17,2016,4/24/16,Grass,Plantago erecta,4,W
17,2016,4/24/16,Grass,Plantago erecta,3,W
17,2016,4/24/16,Grass,Plantago erecta,3,W
17,2016,4/24/16,Grass,Lasthenia californica,1,W
17,2016,4/24/16,Grass,Plantago erecta,2,W
17,2016,5/8/16,Grass,Agoseris heterophylla,1,W
17,2016,4/24/16,Grass,Lasthenia californica,1,W
17,2016,4/24/16,Grass,Lasthenia californica,1,W
17,2016,4/24/16,Grass,Plantago erecta,3,W
17,2016,5/8/16,Grass,Agoseris heterophylla,1,W
17,2016,5/8/16,Grass,Clarkia purpurea,1,W
17,2016,5/8/16,Grass,Clarkia purpurea,1,W
17,2016,5/8/16,Grass,Clarkia purpurea,1,W
17,2016,5/8/16,Grass,Clarkia purpurea,1,W
17,2016,6/23/16,Grass,Hemizonia congesta,2,W
17,2016,5/8/16,Grass,Agoseris heterophylla,1,W
17,2016,5/8/16,Grass,Agoseris heterophylla,1,W
17,2016,6/23/16,Grass,Hemizonia congesta,1,W
17,2016,6/23/16,Grass,Hemizonia congesta,1,W
17,2016,5/8/16,Grass,Agoseris heterophylla,1,W
17,2016,6/23/16,Grass,Hemizonia congesta,2,W
17,2016,6/23/16,Grass,Hemizonia congesta,1,W
17,2016,5/8/16,Grass,Clarkia purpurea,1,W
17,2016,4/24/16,No Grass,Plantago erecta,10,W
17,2016,4/24/16,No Grass,Plantago erecta,2,W
17,2016,4/24/16,No Grass,Plantago erecta,2,W
17,2016,5/20/16,No Grass,Clarkia purpurea,2,W
17,2016,5/20/16,No Grass,Clarkia purpurea,4,W
17,2016,5/8/16,No Grass,Agoseris heterophylla,2,W
