Species,Plot,Subplot,Treat.Code,Year,Date,flo.a,flo.b,flo.c,avg.flo,sd.flo,n.ind,avg.seed.inf,n.seed.ind,cov.g,p.viable
Agoseris heterophylla,5,Grass,W,2016,4/24/16,3,0,18,1,0,5,28.16666667,28.16666667,30,0.954436451
Clarkia purpurea,5,Grass,W,2016,5/20/16,0,0,8,1,0,5,9.727272727,9.727272727,30,0.966666667
Hemizonia congesta,5,Grass,W,2016,6/23/16,3,1,0,1,0,4,3.833333333,3.833333333,30,0.71728972
Lasthenia californica,5,Grass,W,2016,4/24/16,0,1,0,1,NA,1,NA,NA,30,0.545238095
Plantago erecta,5,Grass,W,2016,4/24/16,0,27,0,4.8,0.836660027,5,2,9.6,30,0.849557522
Agoseris heterophylla,5,No Grass,W,2016,4/24/16,2,5,14,1.6,0.547722558,5,56.7,90.72,NA,0.954436451
Clarkia purpurea,5,No Grass,W,2016,5/20/16,0,1,21,1.4,0.894427191,5,32.2,45.08,NA,0.966666667
Hemizonia congesta,5,No Grass,W,2016,6/23/16,1,5,0,1.4,0.547722558,5,4.285714286,6,NA,0.71728972
Lasthenia californica,5,No Grass,W,2016,4/24/16,0,3,0,1.333333333,0.577350269,3,62,82.66666667,NA,0.545238095
Plantago erecta,5,No Grass,W,2016,4/24/16,0,22,0,4.4,2.701851217,5,2,8.8,NA,0.849557522
Agoseris heterophylla,15,Grass,W,2016,5/20/16,0,0,5,1.4,0.894427191,5,62.28571429,87.2,25,0.954436451
Clarkia purpurea,15,Grass,W,2016,5/20/16,1,1,3,1,0,5,17.14285714,17.14285714,25,0.966666667
Hemizonia congesta,15,Grass,W,2016,9/2/16,0,4,0,25,20.11632836,4,2.4,60,25,0.71728972
Lasthenia californica,15,Grass,W,2016,4/24/16,0,2,0,1,0,2,63,63,25,0.545238095
Plantago erecta,15,Grass,W,2016,4/24/16,0,17,0,3,1,5,2,6,25,0.849557522
Agoseris heterophylla,15,No Grass,W,2016,4/24/16,8,4,8,1,0,5,67.2,67.2,NA,0.954436451
Clarkia purpurea,15,No Grass,W,2016,5/20/16,1,6,16,1.4,0.547722558,5,17.68421053,24.75789474,NA,0.966666667
Hemizonia congesta,15,No Grass,W,2016,9/2/16,0,12,0,18.4,20.28053254,5,3.4,62.56,NA,0.71728972
Lasthenia californica,15,No Grass,W,2016,4/24/16,1,2,0,1,0,3,44.125,44.125,NA,0.545238095
Plantago erecta,15,No Grass,W,2016,4/24/16,2,24,0,4.8,1.483239697,5,2,9.6,NA,0.849557522
Agoseris heterophylla,17,Grass,W,2016,5/8/16,0,0,15,1,0,5,36.57142857,36.57142857,80,0.954436451
Clarkia purpurea,17,Grass,W,2016,5/8/16,0,5,0,1,0,5,13.41666667,13.41666667,80,0.966666667
Hemizonia congesta,17,Grass,W,2016,6/23/16,6,2,0,1.4,0.547722558,5,2,2.8,80,0.71728972
Lasthenia californica,17,Grass,W,2016,4/24/16,0,4,0,1.25,0.5,4,50,62.5,80,0.545238095
Plantago erecta,17,Grass,W,2016,4/24/16,0,22,0,3,0.707106781,5,2,6,80,0.849557522
Agoseris heterophylla,17,No Grass,W,2016,5/8/16,2,1,11,2,0.707106781,5,50.11111111,100.2222222,NA,0.954436451
Clarkia purpurea,17,No Grass,W,2016,5/20/16,1,10,9,2.6,0.894427191,5,22.84615385,59.4,NA,0.966666667
Hemizonia congesta,17,No Grass,W,2016,6/23/16,2,1,0,1.666666667,0.577350269,3,3.8,6.333333333,NA,0.71728972
Lasthenia californica,17,No Grass,W,2016,4/24/16,0,8,0,1,0,5,37,37,NA,0.545238095
Plantago erecta,17,No Grass,W,2016,4/24/16,0,14,0,4.6,3.286335345,5,2,9.2,NA,0.849557522
Agoseris heterophylla,18,Grass,C,2016,4/24/16,3,2,12,1,0,5,51,51,40,0.954436451
Clarkia purpurea,18,Grass,C,2016,5/20/16,3,6,11,1.6,0.894427191,5,18.5625,29.7,40,0.966666667
Hemizonia congesta,18,Grass,C,2016,7/27/16,6,4,0,17.4,10.73778376,5,5,87,40,0.71728972
Lasthenia californica,18,Grass,C,2016,4/24/16,0,3,0,1,0,3,44.66666667,44.66666667,40,0.545238095
Plantago erecta,18,Grass,C,2016,4/24/16,0,11,0,1.4,0.547722558,5,2,2.8,40,0.849557522
Agoseris heterophylla,18,No Grass,C,2016,4/24/16,2,6,10,1.4,0.547722558,5,52.16666667,73.03333333,NA,0.954436451
Clarkia purpurea,18,No Grass,C,2016,5/20/16,3,3,17,1.8,0.836660027,5,20.4,36.72,NA,0.966666667
Hemizonia congesta,18,No Grass,C,2016,7/27/16,2,3,0,11.6,5.983310121,5,4.6,53.36,NA,0.71728972
Lasthenia californica,18,No Grass,C,2016,4/24/16,0,13,0,2.4,0.894427191,5,67.15384615,161.1692308,NA,0.545238095
Plantago erecta,18,No Grass,C,2016,4/24/16,0,11,0,4.8,3.898717738,5,2,9.6,NA,0.849557522
