Species,Plot,Year,Date,Subplot,n.seed.inf,n.ind,Treat.Code,p.viable
Agoseris heterophylla,5,2016,5/9/16,Grass,32,6,W,0.954436451
Agoseris heterophylla,5,2016,5/9/16,Grass,23,5,W,0.954436451
Agoseris heterophylla,5,2016,5/9/16,Grass,19,3,W,0.954436451
Agoseris heterophylla,5,2016,5/9/16,Grass,28,4,W,0.954436451
Agoseris heterophylla,5,2016,5/9/16,Grass,33,2,W,0.954436451
Agoseris heterophylla,5,2016,5/9/16,Grass,34,1,W,0.954436451
Clarkia purpurea,5,2016,6/9/16,Grass,4,9,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,Grass,20,1,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,Grass,11,8,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,Grass,20,6,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,Grass,4,7,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,Grass,10,10,W,0.966666667
Clarkia purpurea,5,2016,6/23/16,Grass,9,11,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,Grass,11,3,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,Grass,4,2,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,Grass,4,4,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,Grass,10,5,W,0.966666667
Hemizonia congesta,5,2016,7/26/16,Grass,3,1,W,0.71728972
Hemizonia congesta,5,2016,9/2/16,Grass,4,6,W,0.71728972
Hemizonia congesta,5,2016,9/2/16,Grass,4,2,W,0.71728972
Hemizonia congesta,5,2016,9/2/16,Grass,4,3,W,0.71728972
Hemizonia congesta,5,2016,9/2/16,Grass,4,4,W,0.71728972
Hemizonia congesta,5,2016,9/2/16,Grass,4,5,W,0.71728972
Plantago erecta,5,2016,5/22/16,Grass,2,1,W,0.849557522
Plantago erecta,5,2016,5/22/16,Grass,2,2,W,0.849557522
Plantago erecta,5,2016,5/22/16,Grass,2,3,W,0.849557522
Plantago erecta,5,2016,5/22/16,Grass,2,5,W,0.849557522
Plantago erecta,5,2016,5/22/16,Grass,2,4,W,0.849557522
Agoseris heterophylla,5,2016,5/9/16,No Grass,98,4,W,0.954436451
Agoseris heterophylla,5,2016,5/22/16,No Grass,22,7,W,0.954436451
Agoseris heterophylla,5,2016,5/9/16,No Grass,59,3,W,0.954436451
Agoseris heterophylla,5,2016,5/9/16,No Grass,51,5,W,0.954436451
Agoseris heterophylla,5,2016,5/22/16,No Grass,30,6,W,0.954436451
Agoseris heterophylla,5,2016,5/22/16,No Grass,53,8,W,0.954436451
Agoseris heterophylla,5,2016,5/9/16,No Grass,42,1,W,0.954436451
Agoseris heterophylla,5,2016,5/22/16,No Grass,74,9,W,0.954436451
Agoseris heterophylla,5,2016,5/22/16,No Grass,62,10,W,0.954436451
Agoseris heterophylla,5,2016,5/9/16,No Grass,76,2,W,0.954436451
Clarkia purpurea,5,2016,6/9/16,No Grass,34,14,W,0.966666667
Clarkia purpurea,5,2016,6/23/16,No Grass,25,18,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,No Grass,36,13,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,No Grass,16,12,W,0.966666667
Clarkia purpurea,5,2016,6/23/16,No Grass,23,17,W,0.966666667
Clarkia purpurea,5,2016,6/23/16,No Grass,21,15,W,0.966666667
Clarkia purpurea,5,2016,6/23/16,No Grass,27,16,W,0.966666667
Clarkia purpurea,5,2016,6/23/16,No Grass,41,19,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,No Grass,48,11,W,0.966666667
Clarkia purpurea,5,2016,6/23/16,No Grass,23,20,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,No Grass,46,8,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,No Grass,8,9,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,No Grass,34,7,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,No Grass,39,10,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,No Grass,48,4,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,No Grass,8,2,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,No Grass,39,3,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,No Grass,46,5,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,No Grass,36,6,W,0.966666667
Clarkia purpurea,5,2016,6/9/16,No Grass,46,1,W,0.966666667
Hemizonia congesta,5,2016,9/2/16,No Grass,5,6,W,0.71728972
Hemizonia congesta,5,2016,9/2/16,No Grass,5,5,W,0.71728972
