Year,Plot,Treatment,Treat-Code,Serpentine,Subplot Code,Subplot,Burn?
2015,5,Water,W,S,A,grass,Y
2015,15,Water,W,S,A,grass,Y
2015,17,Water,W,S,A,grass,Y
2015,18,Water Control,WC,S,A,grass,Y
2015,19,Water,W,S,A,grass,Y
2015,23,Water,W,S,A,grass,N
2015,29,Water,W,S,A,grass,N
2015,30,Water Control,WC,S,A,grass,N
2015,37,Water,W,S,A,grass,N
2015,49,Water,W,S,A,grass,N
2015,50,Water Control,WC,S,A,grass,N
2015,55,Water,W,S,A,grass,N
2015,56,Water Control,WC,S,A,grass,N
2015,59,Water,W,S,A,grass,N
2015,81,Drought,D,S,A,grass,Y
2015,82,Drought Control,DC,S,A,grass,Y
2015,83,Drought,D,S,A,grass,Y
2015,84,Drought Control,DC,S,A,grass,Y
2015,85,Drought,D,S,A,grass,Y
2015,86,Drought Control,DC,S,A,grass,Y
2015,87,Drought,D,S,A,grass,Y
2015,89,Drought,D,S,A,grass,Y
2015,91,Drought,D,S,A,grass,N
2015,92,Drought Control,DC,S,A,grass,N
2015,93,Drought,D,S,A,grass,N
2015,95,Drought,D,S,A,grass,N
2015,96,Drought Control,DC,S,A,grass,N
2015,97,Drought,D,S,A,grass,N
2015,98,Drought Control,DC,S,A,grass,N
2015,99,Drought,D,S,A,grass,N
2015,5,Water,W,S,B,no grass,Y
2015,15,Water,W,S,B,no grass,Y
2015,17,Water,W,S,B,no grass,Y
2015,18,Water Control,WC,S,B,no grass,Y
2015,19,Water,W,S,B,no grass,Y
2015,23,Water,W,S,B,no grass,N
2015,29,Water,W,S,B,no grass,N
2015,30,Water Control,WC,S,B,no grass,N
2015,37,Water,W,S,B,no grass,N
2015,49,Water,W,S,B,no grass,N
2015,50,Water Control,WC,S,B,no grass,N
2015,55,Water,W,S,B,no grass,N
2015,56,Water Control,WC,S,B,no grass,N
2015,59,Water,W,S,B,no grass,N
2015,81,Drought,D,S,B,no grass,Y
2015,82,Drought Control,DC,S,B,no grass,Y
2015,83,Drought,D,S,B,no grass,Y
2015,84,Drought Control,DC,S,B,no grass,Y
2015,85,Drought,D,S,B,no grass,Y
2015,86,Drought Control,DC,S,B,no grass,Y
2015,87,Drought,D,S,B,no grass,Y
2015,89,Drought,D,S,B,no grass,Y
2015,91,Drought,D,S,B,no grass,N
2015,92,Drought Control,DC,S,B,no grass,N
2015,93,Drought,D,S,B,no grass,N
2015,95,Drought,D,S,B,no grass,N
2015,96,Drought Control,DC,S,B,no grass,N
2015,97,Drought,D,S,B,no grass,N
2015,98,Drought Control,DC,S,B,no grass,N
2015,99,Drought,D,S,B,no grass,N
2016,5,Water,W,S,A,grass,
2016,15,Water,W,S,A,grass,
2016,17,Water,W,S,A,grass,
2016,18,Water Control,WC,S,A,grass,
2016,19,Water,W,S,A,grass,
2016,23,Water,W,S,A,grass,
2016,29,Water,W,S,A,grass,
2016,30,Water Control,WC,S,A,grass,
2016,37,Water,W,S,A,grass,
2016,49,Water,W,S,A,grass,
2016,50,Water Control,WC,S,A,grass,
2016,55,Water,W,S,A,grass,
2016,56,Water Control,WC,S,A,grass,
2016,59,Water,W,S,A,grass,
2016,81,Drought,D,S,A,grass,
2016,82,Drought Control,DC,S,A,grass,
2016,83,Drought,D,S,A,grass,
2016,84,Drought Control,DC,S,A,grass,
2016,85,Drought,D,S,A,grass,
2016,86,Drought Control,DC,S,A,grass,
2016,87,Drought,D,S,A,grass,
2016,89,Drought,D,S,A,grass,
2016,91,Drought,D,S,A,grass,
2016,92,Drought Control,DC,S,A,grass,
2016,93,Drought,D,S,A,grass,
2016,95,Drought,D,S,A,grass,
2016,96,Drought Control,DC,S,A,grass,
2016,97,Drought,D,S,A,grass,
2016,98,Drought Control,DC,S,A,grass,
2016,99,Drought,D,S,A,grass,
2016,5,Water,W,S,B,no grass,
2016,15,Water,W,S,B,no grass,
2016,17,Water,W,S,B,no grass,
2016,18,Water Control,WC,S,B,no grass,
2016,19,Water,W,S,B,no grass,
2016,23,Water,W,S,B,no grass,
2016,29,Water,W,S,B,no grass,
2016,30,Water Control,WC,S,B,no grass,
2016,37,Water,W,S,B,no grass,
2016,49,Water,W,S,B,no grass,
2016,50,Water Control,WC,S,B,no grass,
2016,55,Water,W,S,B,no grass,
2016,56,Water Control,WC,S,B,no grass,
2016,59,Water,W,S,B,no grass,
2016,81,Drought,D,S,B,no grass,
2016,82,Drought Control,DC,S,B,no grass,
2016,83,Drought,D,S,B,no grass,
2016,84,Drought Control,DC,S,B,no grass,
2016,85,Drought,D,S,B,no grass,
2016,86,Drought Control,DC,S,B,no grass,
2016,87,Drought,D,S,B,no grass,
2016,89,Drought,D,S,B,no grass,
2016,91,Drought,D,S,B,no grass,
2016,92,Drought Control,DC,S,B,no grass,
2016,93,Drought,D,S,B,no grass,
2016,95,Drought,D,S,B,no grass,
2016,96,Drought Control,DC,S,B,no grass,
2016,97,Drought,D,S,B,no grass,
2016,98,Drought Control,DC,S,B,no grass,
2016,99,Drought,D,S,B,no grass,
2016,5,Water,W,S,C,thatch,
2016,15,Water,W,S,C,thatch,
2016,17,Water,W,S,C,thatch,
2016,18,Water Control,WC,S,C,thatch,
2016,19,Water,W,S,C,thatch,
2016,23,Water,W,S,C,thatch,
2016,29,Water,W,S,C,thatch,
2016,30,Water Control,WC,S,C,thatch,
2016,37,Water,W,S,C,thatch,
2016,49,Water,W,S,C,thatch,
2016,50,Water Control,WC,S,C,thatch,
2016,55,Water,W,S,C,thatch,
2016,56,Water Control,WC,S,C,thatch,
2016,59,Water,W,S,C,thatch,
2016,81,Drought,D,S,C,thatch,
2016,82,Drought Control,DC,S,C,thatch,
2016,83,Drought,D,S,C,thatch,
2016,84,Drought Control,DC,S,C,thatch,
2016,85,Drought,D,S,C,thatch,
2016,86,Drought Control,DC,S,C,thatch,
2016,87,Drought,D,S,C,thatch,
2016,89,Drought,D,S,C,thatch,
2016,91,Drought,D,S,C,thatch,
2016,92,Drought Control,DC,S,C,thatch,
2016,93,Drought,D,S,C,thatch,
2016,95,Drought,D,S,C,thatch,
2016,96,Drought Control,DC,S,C,thatch,
2016,97,Drought,D,S,C,thatch,
2016,98,Drought Control,DC,S,C,thatch,
2016,99,Drought,D,S,C,thatch,
