exp.year,Species,Year-collect,avg-num-per-sub,aboveground,belowground,Bag color,toothpick color,Notes,Group
2016,HECO,2014,100,Y,Y,lavender,,,Forb
2016,PLER,2015,100,Y,Y,red,,,Forb
2016,LUBI,"2011, 2015",50,Y,Y,grey/light blue,,ended up not using,Forb
2016,CLPU,2015,100,Y,Y,black,,,Forb
2016,AGHE,2015,100,Y,Y,dark blue,,,Forb
2016,LACA,2015,100,Y,Y,green/yellow,,,Forb
2016,BRHO,2015,100,N,Y,light/dark pink,,,Forb
2017,HECO,2016,67,Y,Y,dark blue/brown,,,Forb
2017,PLER,2016,111,Y,Y,grey,,,Forb
2017,CAPA,2016,68,Y,Y,purple,,,Forb
2017,CLPU,2016,88,Y,Y,light blue,,packets noted as light in weight,Forb
2017,AGHE,2016,99,Y,Y,red,,,Forb
2017,LACA,2016,103,Y,Y,yellow/black,,,Forb
2017,CETR,2016,118,Y,Y,white/cream,,ended up not using,Forb
2017,LOMU,2016,150,N,Y,pink/neon green,,GRASS MIX,Grass
2017,TACA,2016,30,N,Y,pink/neon green,,GRASS MIX,Grass
2017,AVFA,2016,10,N,Y,pink/neon green,,GRASS MIX,Grass
2017,BRHO,2016,15,N,Y,pink/neon green,,GRASS MIX,Grass
